=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.12 21:51:42 =~=~=~=~=~=~=~=~=~=~=~=
=J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,









Found Edge
-47
-47
4294967156,178.63,170.12
4294967159,178.98,171.22
4294967161,178.98,171.88
4294967164,178.98,172.97
4294967166,178.98,173.85
4294967169,179.33,174.50
4294967171,179.33,175.16
4294967174,179.68,175.82
4294967176,179.68,176.48
4294967179,179.68,176.91
4294967181,179.68,177.57
4294967184,180.03,178.01
4294967186,180.03,178.45
4294967189,180.03,178.88
4294967191,180.39,179.10
4294967194,180.39,179.32
4294967196,180.74,179.76
4294967200,180.74,179.76
4294967202,181.09,179.98
4294967205,181.09,179.98
4294967207,181.44,179.98
4294967210,181.44,179.98
4294967212,182.15,179.76
4294967215,182.15,179.54
4294967217,182.15,179.32
4294967220,182.15,179.10
4294967222,181.44,178.66
4294967225,181.44,178.45
4294967227,181.09,178.01
4294967230,181.09,177.57
4294967233,180.39,177.57
4294967235,180.39,177.13
4294967237,179.68,177.13
4294967241,179.68,176.69
4294967244,179.33,176.04
4294967246,179.33,175.82
4294967249,178.98,175.82
4294967251,178.98,175.38
4294967253,179.33,175.16
4294967256,179.33,174.72
4294967258,178.98,174.50
4294967261,178.98,174.29
4294967263,179.33,174.07
4294967266,179.33,173.63
4294967269,178.63,173.41
4294967271,178.63,173.19
4294967274,178.98,173.19
4294967276,178.98,172.97
4294967278,178.98,172.97
4294967281,178.98,172.75
4294967284,178.63,172.75
4294967287,178.63,172.75
4294967289,178.98,172.75
4294967292,178.63,172.75
4294967294,178.63,172.75
1,178.63,172.97
3,178.98,172.97
4,178.98,172.97
6,178.98,172.97
8,178.63,173.19
9,178.63,173.19
10,178.63,173.19
13,178.98,173.41
14,178.98,173.41
16,178.98,173.63
18,178.63,173.63
19,178.63,173.85
21,178.98,173.85
23,178.98,174.07
24,178.98,174.07
27,178.98,174.29
28,178.98,174.29
31,178.98,174.50
33,178.98,174.72
34,178.98,174.72
36,178.98,174.94
38,178.98,174.94
39,178.98,175.16
41,178.98,175.38
43,178.98,175.38
44,178.98,175.60
46,178.98,175.82
48,178.98,175.82
50,178.98,176.04
52,178.98,176.26
53,178.98,176.26
55,178.98,176.48
57,178.98,176.69
58,178.98,176.69
60,178.98,176.91
62,179.33,177.13
64,179.33,177.13
65,179.33,177.35
67,179.33,177.35
69,179.33,177.57
70,179.33,177.79
73,179.33,177.79
75,179.33,177.79
76,179.33,178.01
79,179.33,178.01
80,179.33,178.01
82,179.33,178.23
84,179.33,178.23
85,179.33,178.23
87,179.33,178.23
89,179.33,178.45
90,179.33,178.45
92,179.33,178.45
94,179.33,178.45
95,179.33,178.45
97,179.33,178.45
99,179.33,178.45
100,179.33,178.45
103,179.33,178.45
104,179.33,178.45
106,179.33,178.45
108,179.33,178.45
109,179.33,178.45
112,178.98,178.23
113,178.98,178.23
116,178.98,178.23
118,179.33,178.23
120,179.33,178.23
121,179.33,178.23
124,178.98,178.23
125,178.98,178.23
127,178.98,178.23
129,178.98,178.45
130,178.98,178.45
133,178.98,178.45
134,178.98,178.45
136,178.98,178.45
138,178.98,178.45
140,178.98,178.66
142,178.98,178.66
143,178.98,178.66
145,178.98,178.88
147,178.98,178.88
149,178.98,178.88
151,178.98,179.10
153,179.33,179.10
154,179.33,179.10
158,178.98,179.32
159,178.98,179.32
161,178.98,179.32
163,179.33,179.54
164,179.33,179.54
166,179.33,179.54
168,179.33,179.54
170,179.33,179.54
172,179.33,179.76
174,179.33,179.76
175,179.33,179.76
177,179.33,179.76
179,179.33,179.76
181,179.33,179.76
183,178.98,179.76
184,178.98,179.76
186,179.33,179.76
188,179.33,179.76
190,179.33,179.76
192,179.33,179.76
194,179.33,179.76
195,179.33,179.76
198,178.98,179.76
200,178.98,179.76
202,178.98,179.76
204,178.98,179.76
205,178.98,179.76
208,179.33,179.76
209,179.33,179.76
211,179.33,179.76
213,178.98,179.76
215,178.98,179.76
216,179.33,179.98
218,179.33,179.98
220,179.33,179.98
222,178.98,179.98
224,178.98,179.98
225,178.98,179.98
228,179.33,179.98
229,179.33,179.98
231,178.98,179.98
233,178.98,179.98
235,178.98,179.98
237,178.98,179.98
238,178.98,179.98
240,178.98,180.20
243,178.98,180.20
245,178.98,180.20
246,179.33,180.20
249,179.33,180.20
250,179.33,180.20
253,178.98,180.20
254,178.98,180.42
256,178.98,180.42
258,179.33,180.42
259,179.33,180.42
261,178.98,180.42
263,178.98,180.42
265,178.98,180.42
267,178.98,180.42
269,178.98,180.42
